Image,Class,ExpectedClass
images/-3821908661269191208.png,Eczema,
images/-1495727048511165464.png,Eczema,
images/-3051939329272638280.png,Eczema,
images/-6762126540918162309.png,Allergic Contact Dermatitis,
images/-1001492676369731180.png,Eczema,
images/-2126108056965792224.png,Eczema,
images/-1619731343376036179.png,Eczema,
images/-739761245427487184.png,Eczema,
images/267232830417622013.png,Eczema,
images/-2551832748275660261.png,Eczema,
images/3495686488871907134.png,Eczema,
images/-1058935244298290672.png,Eczema,
images/-1978805647559485287.png,Eczema,
images/5453977556464879778.png,Eczema,
images/1444507081046940940.png,Allergic Contact Dermatitis,
images/-3599312611917901231.png,Eczema,
images/-6241573689775323734.png,Eczema,
images/-968369084228324903.png,Eczema,
images/-4059514673301037066.png,Eczema,
images/-6438545414301250763.png,Eczema,
images/-5883611042179958210.png,Eczema,
images/-2909501836418885572.png,Eczema,
images/-2032799196852997136.png,Eczema,
images/-1466847537458498864.png,Eczema,
images/-2370427552192888875.png,Eczema,
images/5240221775139974085.png,Eczema,
images/1610053035993761930.png,Eczema,
images/-624650480319720761.png,Eczema,
images/8516416641470676717.png,Eczema,
images/-3074087608497358223.png,Eczema,
images/-3223582796914814140.png,Eczema,
images/-1010754336982699838.png,Eczema,
images/-5303561896917410185.png,Eczema,
images/5764210117325712991.png,Allergic Contact Dermatitis,
images/1614744465976140756.png,Eczema,
images/2065343154650666651.png,Eczema,
images/-6419297879712059575.png,Eczema,
images/1151092367918820143.png,Eczema,
images/9160515254792469987.png,Eczema,
images/-3780703286966538961.png,Eczema,
images/-7284532048087233785.png,Eczema,
images/-3559887002495639296.png,Eczema,
images/-6229655993797699310.png,Eczema,
images/-8923487293444025838.png,Eczema,
images/-3428237757976001831.png,Eczema,
images/-1993099401488464055.png,Eczema,
images/-8252330186908367439.png,Eczema,
images/-8001825271725063018.png,Eczema,
images/4274197151964109412.png,Eczema,
images/-567538328757763516.png,Allergic Contact Dermatitis,
images/1071282187346618464.png,Eczema,
images/6798451319984685204.png,Eczema,
images/5904657460937594916.png,Eczema,
images/717658965117278868.png,Eczema,
images/-6892698445976994636.png,Eczema,
images/780555288058696762.png,Eczema,
images/4192242689805525002.png,Eczema,
images/-7046016048692897595.png,Allergic Contact Dermatitis,
images/-43391879386510500.png,Eczema,
images/-2869951807103783157.png,Eczema,
images/8984813648006798735.png,Eczema,
images/8100994483792481876.png,Eczema,
images/-2238709944412086899.png,Eczema,
images/5495915177571105531.png,Allergic Contact Dermatitis,
images/-6339622761930083276.png,Eczema,
images/-2849916399005907973.png,Eczema,
images/-4465867358413006305.png,Eczema,
images/-671812747914036997.png,Allergic Contact Dermatitis,
images/-5877528973360474863.png,Eczema,
images/8258473201694136107.png,Eczema,
images/3120309630356813157.png,Eczema,
images/-3685615169782413866.png,Eczema,
images/-7286384800338207015.png,Eczema,
images/-1045727952327734119.png,Eczema,
images/6270162947228325664.png,Eczema,
images/8723654748532370572.png,Eczema,
images/-7513547210278062408.png,Eczema,
images/-2217561387814573226.png,Eczema,
images/-4259316532864426030.png,Eczema,
images/-6872266676581885327.png,Eczema,
images/-4572694283367066772.png,Eczema,
images/-6526384655012698912.png,Eczema,
images/-6707200243712330995.png,Eczema,
images/2555764332215557264.png,Allergic Contact Dermatitis,
images/-8499520546324140238.png,Eczema,
images/-4445614099443308910.png,Allergic Contact Dermatitis,
images/-2557297330022991624.png,Eczema,
images/4609663550609523913.png,Eczema,
images/-8472237834175694042.png,Eczema,
images/-2252061377678191443.png,Eczema,
images/5377631068374459197.png,Eczema,
images/-1194451675892190559.png,Eczema,
images/5595150567654673913.png,Eczema,
images/5308217235395595242.png,Eczema,
images/-6217581331556066531.png,Eczema,
images/-7816266780279138240.png,Eczema,
images/-2288434622033194477.png,Eczema,
images/-6754223996189969134.png,Eczema,
images/-4723634841049886674.png,Eczema,
images/-3238011234084255593.png,Eczema,
images/6945136525095590960.png,Allergic Contact Dermatitis,
images/-1216401576778757957.png,Eczema,
images/-7342232757940311338.png,Eczema,
images/-7929111754093486633.png,Eczema,
images/-311918315070393568.png,Eczema,
images/-8532169583360415872.png,Allergic Contact Dermatitis,
images/-8752408013757949735.png,Eczema,
images/-3717681648257080297.png,Eczema,
images/8491433229363098403.png,Eczema,
images/9030372736485025618.png,Allergic Contact Dermatitis,
images/5085717221952529022.png,Eczema,
images/6476595171486166899.png,Eczema,
images/8642361726154039736.png,Eczema,
images/-3055245592189156423.png,Eczema,
images/-3690564646031479374.png,Eczema,
images/-4241535286820130818.png,Eczema,
images/1281951106283171619.png,Eczema,
images/-3788838385720706381.png,Eczema,
images/-2997460016579568441.png,Eczema,
images/-1340597856042135006.png,Eczema,
images/-7064908780069413910.png,Eczema,
images/8977765022181205065.png,Eczema,
images/-2248707777276806284.png,Eczema,
images/7085520385428098812.png,Eczema,
images/-6264859610176037628.png,Eczema,
images/-3237362112532506216.png,Eczema,
images/3096229718305165698.png,Eczema,
images/139073546012313918.png,Allergic Contact Dermatitis,
images/7609986478008314923.png,Eczema,
images/1441065153734559518.png,Eczema,
images/-1171014939149184381.png,Eczema,
images/1202119896696685333.png,Eczema,
images/8994326462655890990.png,Allergic Contact Dermatitis,
images/-1460543866509589751.png,Eczema,
images/-8077199062814861533.png,Eczema,
images/-8614320058673555741.png,Eczema,
images/-8448044375649730227.png,Eczema,
images/5259456514382429640.png,Eczema,
images/-4203166728954341030.png,Eczema,
images/-8926425952664189068.png,Eczema,
images/-4062980895108912619.png,Eczema,
images/152035477957158422.png,Allergic Contact Dermatitis,
images/4618618408056657100.png,Eczema,
images/-8280524009538201250.png,Eczema,
images/3128231472463456057.png,Eczema,
images/-6752427542329011768.png,Eczema,
images/-220596390347988661.png,Eczema,
images/-1622773719949394822.png,Eczema,
images/-3857242111700669083.png,Eczema,
images/-7195700219000080752.png,Eczema,
images/-2187738459131395361.png,Eczema,
images/-6583827357689255330.png,Eczema,
images/6409254117435284099.png,Eczema,
images/-1283963341331471600.png,Eczema,
images/-4131764627078782571.png,Eczema,
images/-8772961446987205402.png,Eczema,
images/-154827356472198509.png,Eczema,
images/6115596246061688713.png,Eczema,
images/-9002584586913443899.png,Eczema,
images/-1241231354355375740.png,Eczema,
images/5532681236173164107.png,Eczema,
images/7145588946865531253.png,Eczema,
images/-1290947029292536646.png,Eczema,
images/-1490073135603203268.png,Eczema,
images/-4311219496679279746.png,Eczema,
images/-4571724128049536546.png,Eczema,
images/3209927844777750788.png,Eczema,
images/-2486970802542213454.png,Eczema,
images/-3780061433874158910.png,Eczema,
images/-5719099390090863829.png,Allergic Contact Dermatitis,
images/-869349880437476994.png,Eczema,
images/-9214404105685555535.png,Eczema,
images/5340978936646445096.png,Allergic Contact Dermatitis,
images/-5607893322162480323.png,Eczema,
images/-2538731880524128360.png,Allergic Contact Dermatitis,
images/-9209496230726637783.png,Eczema,
images/-5026570001652617553.png,Eczema,
images/-3044579148804975072.png,Eczema,
images/-1776672099385555595.png,Eczema,
images/3541058243163230586.png,Eczema,
images/6865216719730930043.png,Eczema,
images/9003339554742903243.png,Allergic Contact Dermatitis,
images/-4387878168031721243.png,Eczema,
images/-2373885229844763392.png,Eczema,
images/-6952203225851872037.png,Eczema,
images/8992004962400932960.png,Eczema,
images/-7490056910663333938.png,Eczema,
images/-7055418128950003452.png,Eczema,
images/-558419946250026054.png,Eczema,
images/-2470963294952716246.png,Eczema,
images/-4303642624887385011.png,Eczema,
images/-5128272363659154502.png,Eczema,
images/-3493309736947822924.png,Allergic Contact Dermatitis,
images/-1306941150253534667.png,Eczema,
images/-1741298902959469723.png,Allergic Contact Dermatitis,
images/8895232189294550574.png,Eczema,
images/-5674359905815162158.png,Eczema,
images/-7268807677336387720.png,Eczema,
images/-4061252588174437383.png,Eczema,
images/7246737896596274694.png,Eczema,
images/-8225853453283466659.png,Eczema,
images/-59907778138826579.png,Eczema,
images/-5189709378949177879.png,Allergic Contact Dermatitis,
images/6500252340623712757.png,Eczema,
images/-8687142521108777184.png,Eczema,
images/-2236217581770445072.png,Eczema,
