Image,Class,ExpectedClass
images/-3821908661269191208.png,1,1
images/-1495727048511165464.png,1,1
images/-3051939329272638280.png,1,1
images/-6762126540918162309.png,2,1
images/-1001492676369731180.png,1,1
images/-2126108056965792224.png,1,1
images/-1619731343376036179.png,1,1
images/-739761245427487184.png,1,1
images/267232830417622013.png,1,1
images/-2551832748275660261.png,1,1
images/3495686488871907134.png,1,1
images/-1058935244298290672.png,1,1
images/-1978805647559485287.png,1,1
images/5453977556464879778.png,1,1
images/1444507081046940940.png,2,1
images/-3599312611917901231.png,1,1
images/-6241573689775323734.png,1,1
images/-968369084228324903.png,1,1
images/-4059514673301037066.png,1,1
images/-6438545414301250763.png,1,1
images/-5883611042179958210.png,1,1
images/-2909501836418885572.png,1,1
images/-2032799196852997136.png,1,1
images/-1466847537458498864.png,1,1
images/-2370427552192888875.png,1,1
images/5240221775139974085.png,1,1
images/1610053035993761930.png,1,1
images/-624650480319720761.png,1,1
images/8516416641470676717.png,1,1
images/-3074087608497358223.png,1,1
images/-3223582796914814140.png,1,1
images/-1010754336982699838.png,1,1
images/-5303561896917410185.png,1,1
images/5764210117325712991.png,2,1
images/1614744465976140756.png,1,1
images/2065343154650666651.png,1,1
images/-6419297879712059575.png,1,1
images/1151092367918820143.png,1,1
images/9160515254792469987.png,1,1
images/-3780703286966538961.png,1,1
images/-7284532048087233785.png,1,1
images/-3559887002495639296.png,1,1
images/-6229655993797699310.png,1,1
images/-8923487293444025838.png,1,1
images/-3428237757976001831.png,1,1
images/-1993099401488464055.png,1,1
images/-8252330186908367439.png,1,1
images/-8001825271725063018.png,1,1
images/4274197151964109412.png,1,1
images/-567538328757763516.png,2,1
images/1071282187346618464.png,1,-1
images/6798451319984685204.png,1,-1
images/5904657460937594916.png,1,-1
images/717658965117278868.png,1,-1
images/-6892698445976994636.png,1,-1
images/780555288058696762.png,1,-1
images/4192242689805525002.png,1,-1
images/-7046016048692897595.png,2,-1
images/-43391879386510500.png,1,-1
images/-2869951807103783157.png,1,-1
images/8984813648006798735.png,1,-1
images/8100994483792481876.png,1,-1
images/-2238709944412086899.png,1,-1
images/5495915177571105531.png,2,-1
images/-6339622761930083276.png,1,-1
images/-2849916399005907973.png,1,-1
images/-4465867358413006305.png,1,-1
images/-671812747914036997.png,2,-1
images/-5877528973360474863.png,1,-1
images/8258473201694136107.png,1,-1
images/3120309630356813157.png,1,-1
images/-3685615169782413866.png,1,-1
images/-7286384800338207015.png,1,-1
images/-1045727952327734119.png,1,-1
images/6270162947228325664.png,1,-1
images/8723654748532370572.png,1,-1
images/-7513547210278062408.png,1,-1
images/-2217561387814573226.png,1,-1
images/-4259316532864426030.png,1,-1
images/-6872266676581885327.png,1,-1
images/-4572694283367066772.png,1,-1
images/-6526384655012698912.png,1,-1
images/-6707200243712330995.png,1,-1
images/2555764332215557264.png,2,-1
images/-8499520546324140238.png,1,-1
